"Canton","Nationalité","Classes d'âge 15-24, 25-49, 50 ans et plus",,"Mois","Janvier 2016","Février 2016","Mars 2016","Avril 2016","Mai 2016","Juin 2016","Juillet 2016","Août 2016","Septembre 2016","Octobre 2016","Novembre 2016","Décembre 2016"
"Soleure","Total","",,,"4'632","4'554","4'450","4'281","4'189","4'013","3'963","4'182","4'220","4'232","4'380","4'679"
"Bâle-Ville","Etrangers","1","15-24 ans",,"157","165","156","158","154","144","162","177","156","143","152","158"
"Bâle-Ville","Etrangers","2","25-49 ans",,"1'621","1'666","1'598","1'598","1'502","1'445","1'377","1'351","1'354","1'370","1'493","1'627"
"Bâle-Ville","Etrangers","3","50 ans et plus",,"409","411","403","419","418","402","377","371","375","386","423","458"
"Bâle-Ville","Etrangers","Total",,,"2'187","2'242","2'157","2'175","2'074","1'991","1'916","1'899","1'885","1'899","2'068","2'243"
"Bâle-Ville","Suisses","1","15-24 ans",,"254","276","259","269","252","245","242","274","260","269","248","234"
"Bâle-Ville","Suisses","2","25-49 ans",,"1'026","1'072","1'049","1'059","1'050","1'026","975","1'009","1'027","1'021","1'055","1'068"
"Bâle-Ville","Suisses","3","50 ans et plus",,"480","472","470","481","480","460","466","483","477","488","487","487"
"Bâle-Ville","Suisses","Total",,,"1'760","1'820","1'778","1'809","1'782","1'731","1'683","1'766","1'764","1'778","1'790","1'789"
"Bâle-Ville","Total","",,,"3'947","4'062","3'935","3'984","3'856","3'722","3'599","3'665","3'649","3'677","3'858","4'032"
"Bâle-Campagne","Etrangers","1","15-24 ans",,"168","165","159","148","139","137","164","189","190","180","165","167"
"Bâle-Campagne","Etrangers","2","25-49 ans",,"1'380","1'324","1'297","1'258","1'237","1'231","1'195","1'201","1'201","1'179","1'276","1'372"
"Bâle-Campagne","Etrangers","3","50 ans et plus",,"395","413","411","392","390","376","353","350","350","364","370","407"
"Bâle-Campagne","Etrangers","Total",,,"1'943","1'902","1'867","1'798","1'766","1'744","1'712","1'740","1'741","1'723","1'811","1'946"
"Bâle-Campagne","Suisses","1","15-24 ans",,"382","351","355","326","297","299","337","416","398","357","366","366"
"Bâle-Campagne","Suisses","2","25-49 ans",,"1'415","1'416","1'435","1'396","1'401","1'439","1'412","1'402","1'365","1'342","1'418","1'433"
"Bâle-Campagne","Suisses","3","50 ans et plus",,"873","870","875","876","888","895","885","865","865","865","862","902"
"Bâle-Campagne","Suisses","Total",,,"2'670","2'637","2'665","2'598","2'586","2'633","2'634","2'683","2'628","2'564","2'646","2'701"
"Bâle-Campagne","Total","",,,"4'613","4'539","4'532","4'396","4'352","4'377","4'346","4'423","4'369","4'287","4'457","4'647"
"Schaffhouse","Etrangers","1","15-24 ans",,"79","75","74","76","83","88","100","98","104","93","90","86"
"Schaffhouse","Etrangers","2","25-49 ans",,"544","555","533","530","504","491","461","450","470","462","472","514"
